MODEL	TRANS	REP	R2	X2	X2p	X2c
Binomial	none	1	1.0	235.504553578	237.455387501	0.544375816206
Binomial	none	10	1.0	136.203578873	188.329767824	0.554732874817
Binomial	none	100	1.0	1167.73555729	214.810089167	0.550685400194
Binomial	none	11	1.0	187.210582414	201.075049132	0.556616617935
Binomial	none	12	1.0	118.220171823	196.785546011	0.563053250402
Binomial	none	13	1.0	95.3182945017	185.591868556	0.564898841726
Binomial	none	14	1.0	427.256293741	283.321475036	0.56806838771
Binomial	none	15	0.0	141.847826189	178.119736181	0.550841750964
Binomial	none	16	1.0	201.62764333	184.768946398	0.566195741024
Binomial	none	17	1.0	130.791774777	196.509947517	0.545488241547
Binomial	none	18	1.0	256.242130533	286.624959922	0.557142377348
Binomial	none	19	1.0	155.844144448	236.625397392	0.554177831281
Binomial	none	2	1.0	179.343920686	192.182063642	0.564866461604
Binomial	none	20	1.0	591.304669919	197.545750793	0.562453593325
Binomial	none	21	1.0	263.349695659	217.237984488	0.555531416913
Binomial	none	22	1.0	130.542537772	174.543433021	0.564861010879
Binomial	none	23	1.0	134.353959305	180.12478841	0.556615370947
Binomial	none	24	1.0	1206.83096921	206.540484832	0.574187729311
Binomial	none	25	1.0	1149.36387699	185.207098655	0.556027841041
Binomial	none	26	1.0	971.590902151	202.69211023	0.557133375499
Binomial	none	27	1.0	164.658682666	213.79911588	0.569209239328
Binomial	none	28	1.0	175.598447117	227.980119892	0.566086492892
Binomial	none	29	1.0	163.435272495	202.067895193	0.558722289895
Binomial	none	3	1.0	117.493692432	208.618361329	0.552576548681
Binomial	none	30	1.0	124.69551257	206.372264517	0.565895586824
Binomial	none	31	1.0	294.852329356	246.218670794	0.560526430755
Binomial	none	32	1.0	1038.24077839	233.376455945	0.572325097402
Binomial	none	33	1.0	865.847459109	216.528240477	0.55952463988
Binomial	none	34	1.0	155.485043871	179.336801536	0.561390148038
Binomial	none	35	1.0	161.869882296	174.251776984	0.556560916353
Binomial	none	36	1.0	124.875084354	194.542578107	0.546728973003
Binomial	none	37	1.0	1131.17194869	247.516917324	0.567209548496
Binomial	none	38	1.0	1872.66899945	202.883442626	0.566917449961
Binomial	none	39	1.0	285.87185991	275.598631412	0.544572384518
Binomial	none	4	1.0	181.026048143	169.241547046	0.5539555082
Binomial	none	40	1.0	146.236713771	200.75138794	0.555240058218
Binomial	none	41	1.0	118.308249291	196.712528291	0.557155112834
Binomial	none	42	1.0	175.258781164	207.587150437	0.552058886224
Binomial	none	43	1.0	143.20269899	195.9831553	0.551969861146
Binomial	none	44	1.0	264.697159356	221.162372531	0.566952940944
Binomial	none	45	1.0	932.936264396	209.281587353	0.551907722929
Binomial	none	46	1.0	119.720727948	200.85214359	0.55902552954
Binomial	none	47	1.0	255.871872295	224.437360804	0.554958247263
Binomial	none	48	1.0	818.103317077	276.168518229	0.568648396277
Binomial	none	49	1.0	2001.70516037	212.650506316	0.565327697542
Binomial	none	5	1.0	1066.15593114	205.210616878	0.566451395967
Binomial	none	50	1.0	177.31159518	199.615808414	0.564403894226
Binomial	none	51	1.0	204.396222788	222.121316096	0.561165871861
Binomial	none	52	1.0	1014.47218098	240.834261323	0.563673131145
Binomial	none	53	1.0	135.682267225	225.735955143	0.552716809128
Binomial	none	54	1.0	124.928694817	195.470379646	0.556118037583
Binomial	none	55	1.0	2031.63928818	222.314420586	0.565652665808
Binomial	none	56	1.0	984.147754495	196.22565998	0.575791396653
Binomial	none	57	1.0	156.470623597	230.386579702	0.549832084919
Binomial	none	58	1.0	151.475954788	195.05504062	0.556659442327
Binomial	none	59	1.0	118.336567187	228.316511238	0.549781682103
Binomial	none	6	1.0	1268.24336275	245.265590345	0.55960544601
Binomial	none	60	1.0	160.011657791	183.66942209	0.554149761469
Binomial	none	61	1.0	1152.63375233	227.307674527	0.54642214012
Binomial	none	62	1.0	822.166940218	235.975567381	0.563431045347
Binomial	none	63	1.0	1145.84660093	230.24347175	0.565728384292
Binomial	none	64	1.0	239.309900212	223.064514307	0.544913295693
Binomial	none	65	1.0	926.217312251	207.253255419	0.557718814353
Binomial	none	66	1.0	366.700197394	287.833432375	0.569787923192
Binomial	none	67	1.0	125.050430478	197.038577982	0.563266029621
Binomial	none	68	1.0	651.475739263	186.701878497	0.550435850002
Binomial	none	69	1.0	186.019440934	196.700588417	0.564784065849
Binomial	none	7	1.0	117.75161954	214.352595023	0.555754732774
