ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_HOT,NGENES_POLY,NMARKERS,NMARKERS_HOT,NMARKERS_POLY,NOISE,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
0.99999,,,1,1.0,0,0.0,,,Binomial,1000,1,0,100,1,0,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,NBinomial4,1000,1,0,100,1,0,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,blom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,boxcox
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,log
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,voom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,vst
0.99999,,,1,1.0,0,0.0,,,Poisson,1000,1,0,100,1,0,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Binomial,1000,1,0,100,1,0,1,0.99999,1000,,1,,2,99999,1.0,0,0.0,none
0.95687,,1.0,1,1.0,4312,0.04312043120431204,0.0,-0.0006712940670695813,NBinomial4,1000,1,0,100,1,0,1,0.9999895493687819,1000,0.0,1,,2,95687,0.9568795687956879,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,1,,2,99999,1.0,0,0.0,blom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,1,,2,99999,1.0,0,0.0,boxcox
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,1,,2,99999,1.0,0,0.0,log
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,1,,2,99999,1.0,0,0.0,voom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,1,,2,99999,1.0,0,0.0,vst
0.99999,,,1,1.0,0,0.0,,,Poisson,1000,1,0,100,1,0,1,0.99999,1000,,1,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Binomial,1000,1,0,100,1,0,2,0.99999,1000,,1,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,NBinomial4,1000,1,0,100,1,0,2,0.99999,1000,,1,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,2,0.99999,1000,,1,,2,99999,1.0,0,0.0,blom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,2,0.99999,1000,,1,,2,99999,1.0,0,0.0,boxcox
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,2,0.99999,1000,,1,,2,99999,1.0,0,0.0,log
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,2,0.99999,1000,,1,,2,99999,1.0,0,0.0,voom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,2,0.99999,1000,,1,,2,99999,1.0,0,0.0,vst
0.99999,,,1,1.0,0,0.0,,,Poisson,1000,1,0,100,1,0,2,0.99999,1000,,1,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Binomial,1000,1,0,100,1,0,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,NBinomial4,1000,1,0,100,1,0,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,blom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,boxcox
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,log
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,voom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,vst
0.99999,,,1,1.0,0,0.0,,,Poisson,1000,1,0,100,1,0,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Binomial,1000,1,0,100,1,0,1,0.99999,1000,,10,,2,99999,1.0,0,0.0,none
0.96116,,1.0,1,1.0,3883,0.03883038830388304,0.0,-0.0006356027435853343,NBinomial4,1000,1,0,100,1,0,1,0.9999895960131923,1000,0.0,10,,2,96116,0.9611696116961169,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,10,,2,99999,1.0,0,0.0,blom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,10,,2,99999,1.0,0,0.0,boxcox
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,10,,2,99999,1.0,0,0.0,log
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,10,,2,99999,1.0,0,0.0,voom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,1,0.99999,1000,,10,,2,99999,1.0,0,0.0,vst
