ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,R2,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
,,,0,,0,,,,Normal,100,1,100,1,,1000,,,1,,1,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,,1,,1,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,,1,,1,0,,0,,blom
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Normal,100,1,100,1,1.0,1000,1.0,1.0,2,0.0,1,9999,1.0,1,1.0,log
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Normal,100,1,100,1,1.0,1000,1.0,1.0,2,0.0,1,9999,1.0,1,1.0,boxcox
0.9999,0.6666666666666666,0.5,0,0.0,1,0.00010001000100010001,0.7071067811865476,0.7070714214274962,Normal,100,1,100,1,1.0,1000,0.5,0.8372656958864072,2,0.16271803068318152,1,9998,0.9998999899989999,1,1.0,blom
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Normal,100,1,100,1,1.0,1000,1.0,1.0,3,0.0,1,9999,1.0,1,1.0,log
0.9974,0.07142857142857142,0.9629629629629629,0,0.0,26,0.0026002600260026003,0.19245008972987526,0.19219971672754374,Normal,100,1,100,1,1.0,1000,0.037037037037037035,0.31857328228148474,3,0.6813585750467439,1,9973,0.9973997399739974,1,1.0,boxcox
0.9994,0.25,0.8571428571428571,0,0.0,6,0.0006000600060006001,0.3779644730092272,0.3778510553103468,Normal,100,1,100,1,1.0,1000,0.14285714285714285,0.8353831392925177,3,0.16460039902141163,1,9993,0.9993999399939995,1,1.0,blom
0.9998,0.7499999999999999,0.0,2,0.4,0,0.0,0.7745966692414834,0.7745191824539899,Normal,100,1,100,5,0.9997999399819946,1000,1.0,0.9678986656831682,1,0.012784692317357424,1,9995,1.0,3,0.6,log
0.9997,0.5714285714285715,0.0,3,0.6,0,0.0,0.6324555320336759,0.6323606376073696,Normal,100,1,100,5,0.9996999399879976,1000,1.0,0.7586372354678498,1,0.09612524672509835,1,9995,1.0,2,0.4,boxcox
0.9995,0.5454545454545454,0.5,2,0.4,3,0.00030015007503751874,0.5477225575051661,0.5474759474034544,Normal,100,1,100,5,0.9997998799279568,1000,0.5,0.9374426616940543,1,0.024914114614077037,1,9992,0.9996998499249625,3,0.6,blom
0.9998,0.7499999999999999,0.0,2,0.4,0,0.0,0.7745966692414834,0.7745191824539899,Normal,100,1,100,5,0.9997999399819946,1000,1.0,0.9185113706325587,2,0.023560381952411218,1,9995,1.0,3,0.6,log
0.9998,0.7499999999999999,0.0,2,0.4,0,0.0,0.7745966692414834,0.7745191824539899,Normal,100,1,100,5,0.9997999399819946,1000,1.0,0.9309475897551833,2,0.01996476284766792,1,9995,1.0,3,0.6,boxcox
0.9998,0.7499999999999999,0.0,2,0.4,0,0.0,0.7745966692414834,0.7745191824539899,Normal,100,1,100,5,0.9997999399819946,1000,1.0,0.8834148933761554,2,0.03370764318092509,1,9995,1.0,3,0.6,blom
0.9993,,1.0,5,1.0,2,0.00020010005002501252,0.0,-0.00031633848804770863,Normal,100,1,100,5,0.999499899979996,1000,0.0,-1.9728287988860664,3,0.7644950560467613,1,9993,0.999799899949975,0,0.0,log
0.9993,,1.0,5,1.0,2,0.00020010005002501252,0.0,-0.00031633848804770863,Normal,100,1,100,5,0.999499899979996,1000,0.0,-3.210275668366072,3,1.0827178928924233,1,9993,0.999799899949975,0,0.0,boxcox
,,,0,,0,,,,Normal,100,1,100,5,,1000,,,3,,1,0,,0,,blom
0.9993,0.4615384615384615,0.0,7,0.7,0,0.0,0.5477225575051661,0.5475307635020102,Normal,100,1,100,10,0.9992997899369811,1000,1.0,0.5400797279915139,1,0.08315943886651257,1,9990,1.0,3,0.3,log
0.9994,0.5714285714285715,0.0,6,0.6,0,0.0,0.6324555320336759,0.6322656909571993,Normal,100,1,100,10,0.9993997599039616,1000,1.0,0.6575473686250108,1,0.0619197943572692,1,9990,1.0,4,0.4,boxcox
0.9994,0.5714285714285715,0.0,6,0.6,0,0.0,0.6324555320336759,0.6322656909571993,Normal,100,1,100,10,0.9993997599039616,1000,1.0,0.7088525891526984,1,0.05264315749285533,1,9990,1.0,4,0.4,blom
0.9993,0.5333333333333333,0.2,6,0.6,1,0.0001001001001001001,0.5656854249492381,0.5654023876408686,Normal,100,1,100,10,0.9993996998499249,1000,0.8,0.3662267478884299,2,0.08426616161991406,1,9989,0.9998998998998999,4,0.4,log
0.9994,0.625,0.16666666666666666,5,0.5,1,0.0001001001001001001,0.6454972243679028,0.6452388316791134,Normal,100,1,100,10,0.999499699819892,1000,0.8333333333333334,0.48121895252693025,2,0.06897685796310357,1,9989,0.9998998998998999,5,0.5,boxcox
0.9994,0.625,0.16666666666666666,5,0.5,1,0.0001001001001001001,0.6454972243679028,0.6452388316791134,Normal,100,1,100,10,0.999499699819892,1000,0.8333333333333334,0.3144792704491298,2,0.09114647927736433,1,9989,0.9998998998998999,5,0.5,blom
0.9995,0.7058823529411764,0.14285714285714285,4,0.4,1,0.0001001001001001001,0.7171371656006361,0.7169098870501923,Normal,100,1,100,10,0.9995997198038628,1000,0.8571428571428571,0.9314806820966404,3,0.010030601420446,1,9989,0.9998998998998999,6,0.6,log
0.9992,0.5555555555555556,0.375,5,0.5,3,0.0003003003003003003,0.5590169943749475,0.5586253327790914,Normal,100,1,100,10,0.9994995996797438,1000,0.625,0.8129183257047692,3,0.02738704595063034,1,9987,0.9996996996996997,5,0.5,boxcox
0.9991,0.5263157894736842,0.4444444444444444,5,0.5,4,0.0004004004004004004,0.5270462766947299,0.5265978620244759,Normal,100,1,100,10,0.9994995495946352,1000,0.5555555555555556,0.8108402540286241,3,0.027691256636672594,1,9986,0.9995995995995997,5,0.5,blom
0.9999,0.888888888888889,0.0,1,0.2,0,0.0,0.8944271909999159,0.8943824506256789,Normal,100,5,100,1,0.9998999599839936,1000,1.0,0.11742285486301773,1,0.20774166090016627,1,9995,1.0,4,0.8,log
0.9999,0.888888888888889,0.0,1,0.2,0,0.0,0.8944271909999159,0.8943824506256789,Normal,100,5,100,1,0.9998999599839936,1000,1.0,0.1371088750394912,1,0.20310795091740885,1,9995,1.0,4,0.8,boxcox
0.999,0.37499999999999994,0.7272727272727273,2,0.4,8,0.0008004002001000501,0.4045199174779452,0.4041015971060521,Normal,100,5,100,1,0.9997997797577335,1000,0.2727272727272727,0.1548044740663287,1,0.19894274773634524,1,9987,0.9991995997998999,3,0.6,blom
0.9997,0.5714285714285715,0.0,3,0.6,0,0.0,0.6324555320336759,0.6323606376073696,Normal,100,5,100,1,0.9996999399879976,1000,1.0,0.8291055649102429,2,0.0670896020404525,1,9995,1.0,2,0.4,log
0.9976,0.19999999999999998,0.88,2,0.4,22,0.0022011005502751376,0.2683281572999748,0.2676116748303517,Normal,100,5,100,1,0.9997994987468671,1000,0.12,0.40958795926728375,2,0.23178349155632338,1,9973,0.9977988994497249,3,0.6,boxcox
0.9996,0.5,0.3333333333333333,3,0.6,1,0.00010005002501250626,0.5163977794943222,0.5162169705300312,Normal,100,5,100,1,0.9996999099729919,1000,0.6666666666666666,0.783110926404925,2,0.0851461408136171,1,9994,0.9998999499749875,2,0.4,blom
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Normal,100,5,100,1,1.0,1000,1.0,0.7152174333199521,3,0.07192032866926701,1,9995,1.0,5,1.0,log
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Normal,100,5,100,1,1.0,1000,1.0,0.7270098194841533,3,0.06894222400994242,1,9995,1.0,5,1.0,boxcox
0.998,0.33333333333333337,0.8,0,0.0,20,0.002001000500250125,0.4472135954999579,0.4467659341310055,Normal,100,5,100,1,1.0,1000,0.2,0.47348172246763964,3,0.13296940192637405,1,9975,0.9979989994997499,5,1.0,blom
0.9995,0.8936170212765958,0.045454545454545456,4,0.16,1,0.00010025062656641604,0.8954430086935639,0.8952015345145011,Normal,100,5,100,5,0.9995991180597315,1000,0.9545454545454546,0.9012761307349474,1,0.00592105128393747,1,9974,0.9998997493734336,21,0.84,log
0.9964,0.55,0.6,3,0.12,33,0.0033082706766917294,0.593295878967653,0.5919562734435675,Normal,100,5,100,5,0.9996983408748115,1000,0.4,0.688344234515762,1,0.01869182988981767,1,9942,0.9966917293233083,22,0.88,boxcox
0.9969,0.5753424657534247,0.5625,4,0.16,27,0.002706766917293233,0.6062177826491071,0.6049621945408914,Normal,100,5,100,5,0.9995980707395499,1000,0.4375,0.6916175200249848,1,0.01849551169938044,1,9948,0.9972932330827068,21,0.84,blom
0.9984,0.5294117647058824,0.0,16,0.64,0,0.0,0.6,0.5995193751106128,Normal,100,5,100,5,0.9983985587028326,1000,1.0,0.0727619560133369,2,0.06357809856383694,1,9975,1.0,9,0.36,log
0.9973,0.39999999999999997,0.55,16,0.64,11,0.0011027568922305764,0.40249223594996214,0.40115878780951614,Normal,100,5,100,5,0.9983967935871744,1000,0.45,0.34524234736250725,2,0.0448948863183312,1,9964,0.9988972431077694,9,0.36,boxcox
0.9979,0.4,0.3,18,0.72,3,0.0003007518796992481,0.4427188724235731,0.4419112027036481,Normal,100,5,100,5,0.9981981981981982,1000,0.7,0.02702486193767939,2,0.06671416216047626,1,9972,0.9996992481203008,7,0.28,blom
