ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,1,,1,0,,0,,none
0.9979166666666667,,1.0,1,1.0,1,0.0010427528675703858,0.0,-0.0010427528675703858,Poisson,100,1,10,1,0.9989572471324296,50,0.0,1,,1,958,0.9989572471324296,0,0.0,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,1,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,2,0.0,1,979,1.0,1,1.0,none
0.9989795918367347,0.6666666666666666,0.5,0,0.0,1,0.0010214504596527069,0.7071067811865476,0.7067455516451261,Poisson,100,1,10,1,1.0,50,0.5,2,0.9358511094845398,1,978,0.9989785495403473,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,2,0.0,1,979,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,3,,1,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,3,,1,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,3,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,4,0.0,1,959,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,100,1,10,1,1.0,50,1.0,4,0.0,1,959,1.0,1,1.0,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,4,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,5,0.0,1,999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,100,1,10,1,1.0,50,1.0,5,0.0,1,999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,5,0.0,1,999,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,6,,1,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,6,,1,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,6,,1,0,,0,,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,7,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,100,1,10,1,1.0,50,1.0,7,0.0,1,989,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,7,0.0,1,989,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,8,,1,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,8,,1,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,8,,1,0,,0,,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,9,,1,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,9,,1,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,9,,1,0,,0,,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,10,,1,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,10,,1,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,10,,1,0,,0,,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,1,,2,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,1,,2,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,1,,2,0,,0,,none
