ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
,,,0,,0,,,,Normal,100,1,100,1,,1000,,1,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,1,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,1,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,2,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,2,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,2,,1.5,0,,0,,blom
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,3,136.32835707566963,1.5,9979,1.0,1,0.047619047619047616,log
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,3,136.32835707566963,1.5,9979,1.0,1,0.047619047619047616,boxcox
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,3,136.32835707566963,1.5,9979,1.0,1,0.047619047619047616,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,4,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,4,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,4,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,5,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,5,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,5,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,1.5,0,,0,,blom
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,7,77.36230357992667,1.5,9979,1.0,1,0.047619047619047616,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,7,,1.5,0,,0,,boxcox
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,7,77.36230357992667,1.5,9979,1.0,1,0.047619047619047616,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,8,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,8,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,8,,1.5,0,,0,,blom
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,9,56.02238302390943,1.5,9979,1.0,1,0.047619047619047616,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,9,,1.5,0,,0,,boxcox
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,9,56.02238302390943,1.5,9979,1.0,1,0.047619047619047616,blom
0.9978,,1.0,21,1.0,1,0.0001002104419280489,0.0,-0.00045876243781104977,Normal,100,1,100,1,0.9978997899789979,1000,0.0,10,,1.5,9978,0.9998997895580719,0,0.0,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,10,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,10,,1.5,0,,0,,blom
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,1,157.4216100315037,2.0,9979,1.0,1,0.047619047619047616,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,1,,2.0,0,,0,,boxcox
