,ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
1,,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,1,,1.5,0,,0,,none
1,,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,1,,1.5,0,,0,,none
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,1,,1.5,0,,0,,blom
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,1,,1.5,0,,0,,boxcox
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,1,,1.5,0,,0,,log
1,,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,1,,1.5,0,,0,,none
1,,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,10,,1.5,0,,0,,none
1,,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,10,,1.5,0,,0,,none
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,10,,1.5,0,,0,,blom
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,10,,1.5,0,,0,,boxcox
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,10,,1.5,0,,0,,log
1,,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,10,,1.5,0,,0,,none
1,,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,2,,1.5,0,,0,,none
1,,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,2,,1.5,0,,0,,none
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,2,,1.5,0,,0,,blom
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,2,,1.5,0,,0,,boxcox
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,2,,1.5,0,,0,,log
1,,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,2,,1.5,0,,0,,none
1,,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,3,,1.5,0,,0,,none
1,,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,3,,1.5,0,,0,,none
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,3,,1.5,0,,0,,blom
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,3,,1.5,0,,0,,boxcox
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,3,,1.5,0,,0,,log
1,,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,3,,1.5,0,,0,,none
1,,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,4,,1.5,0,,0,,none
1,,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,4,,1.5,0,,0,,none
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,4,,1.5,0,,0,,blom
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,4,,1.5,0,,0,,boxcox
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,4,,1.5,0,,0,,log
1,,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,4,,1.5,0,,0,,none
1,,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,5,,1.5,0,,0,,none
1,,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,5,,1.5,0,,0,,none
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,5,,1.5,0,,0,,blom
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,5,,1.5,0,,0,,boxcox
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,5,,1.5,0,,0,,log
1,,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,5,,1.5,0,,0,,none
1,,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,6,,1.5,0,,0,,none
1,,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,6,,1.5,0,,0,,none
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,6,,1.5,0,,0,,blom
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,6,,1.5,0,,0,,boxcox
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,6,,1.5,0,,0,,log
1,,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,6,,1.5,0,,0,,none
1,,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,7,,1.5,0,,0,,none
1,,,,0,,0,,,,NBinomial,1000,1,100,1,,1000,,7,,1.5,0,,0,,none
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,7,,1.5,0,,0,,blom
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,7,,1.5,0,,0,,boxcox
1,,,,0,,0,,,,Normal,1000,1,100,1,,1000,,7,,1.5,0,,0,,log
1,,,,0,,0,,,,Poisson,1000,1,100,1,,1000,,7,,1.5,0,,0,,none
1,,,,0,,0,,,,Binomial,1000,1,100,1,,1000,,8,,1.5,0,,0,,none
