ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_HOT,NGENES_POLY,NMARKERS,NMARKERS_HOT,NMARKERS_POLY,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
0.99996,0.33333333333333337,0.8,0,0.0,4,4.000040000400004e-05,0.4472135954999579,0.447204651049158,NBinomial4,1000,1,0,100,1,0,1.0,1000,0.2,1,0.013791444466119386,2,99995,0.999959999599996,1,1.0,none
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,blom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,boxcox
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,log
0.99999,,,1,1.0,0,0.0,,,Poisson,1000,1,0,100,1,0,0.99999,1000,,1,,2,99999,1.0,0,0.0,none
0.99998,,1.0,1,1.0,1,1.000010000100001e-05,0.0,-1.000010000100001e-05,NBinomial4,1000,1,0,100,1,0,0.999989999899999,1000,0.0,10,,2,99998,0.999989999899999,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,blom
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,boxcox
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,log
0.99999,,,1,1.0,0,0.0,,,Poisson,1000,1,0,100,1,0,0.99999,1000,,10,,2,99999,1.0,0,0.0,none
0.99998,0.5,0.6666666666666666,0,0.0,2,2.000020000200002e-05,0.5773502691896257,0.57734449560033,NBinomial4,1000,1,0,100,1,0,1.0,1000,0.3333333333333333,2,0.0036022023221328526,2,99997,0.999979999799998,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Normal,1000,1,0,100,1,0,1.0,1000,1.0,2,0.0,2,99999,1.0,1,1.0,blom
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Normal,1000,1,0,100,1,0,1.0,1000,1.0,2,0.0,2,99999,1.0,1,1.0,boxcox
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Normal,1000,1,0,100,1,0,1.0,1000,1.0,2,0.0,2,99999,1.0,1,1.0,log
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,1000,1,0,100,1,0,1.0,1000,1.0,2,0.0,2,99999,1.0,1,1.0,none
0.99998,,1.0,1,1.0,1,1.000010000100001e-05,0.0,-1.000010000100001e-05,NBinomial4,1000,1,0,100,1,0,0.999989999899999,1000,0.0,3,,2,99998,0.999989999899999,0,0.0,none
0.99999,,,1,1.0,0,0.0,,,Normal,1000,1,0,100,1,0,0.99999,1000,,3,,2,99999,1.0,0,0.0,blom
