NSAMPLES	MODEL	TRANS	REP	R2	X2	X2p	X2c	nMSE	PCC	RHO
226	Binomial	none	1	1.0	172.077809707	178.571813357	177.837453795	0.573805766679	0.978776575942	0.829150574508
226	Binomial	none	10	1.0	220.294595613	226.383945702	225.609006866	0.573996501672	0.977791189742	0.827765796847
226	Binomial	none	100	1.0	193.282778654	200.230815252	199.510117206	0.579297472676	0.97728439849	0.826115165095
226	Binomial	none	11	1.0	189.380953351	195.824996825	195.001216731	0.586210843761	0.977590073345	0.824374009243
226	Binomial	none	12	1.0	230.423344889	237.011458013	236.31434125	0.580744381805	0.97676316092	0.824887871102
226	Binomial	none	13	1.0	220.019492987	227.859952188	227.156048456	0.578642339188	0.977443995271	0.826383805281
226	Binomial	none	14	1.0	190.312053708	197.026706555	196.290599341	0.587874657286	0.976560935314	0.823485546094
226	Binomial	none	15	1.0	184.894570472	191.776990857	191.091451547	0.591156241224	0.977069884172	0.82319392283
226	Binomial	none	16	1.0	220.536849536	226.710193888	225.945313452	0.582727002494	0.978089754126	0.826413617318
226	Binomial	none	17	1.0	204.510578537	211.228556178	210.48105903	0.57562897921	0.977718933212	0.827449979236
226	Binomial	none	18	1.0	224.342876487	231.241079862	230.5566445	0.572002549087	0.977684050624	0.82907278104
226	Binomial	none	19	1.0	225.521586957	232.495228925	231.760008703	0.578942397424	0.977833867595	0.826220426314
226	Binomial	none	2	1.0	200.581341998	206.964608358	206.192561011	0.587547605414	0.977021238511	0.823850409602
226	Binomial	none	20	1.0	227.024409257	232.911226378	232.151082252	0.57463160393	0.977272927634	0.827849917296
226	Binomial	none	21	1.0	185.791971975	192.304102635	191.569939194	0.580058209317	0.977392154972	0.825849672808
226	Binomial	none	22	1.0	175.758284788	182.044300238	181.310086496	0.589821977556	0.976307734913	0.823510249321
226	Binomial	none	23	1.0	193.614190268	200.304595601	199.553306019	0.576611290205	0.977715113498	0.826974292957
226	Binomial	none	24	1.0	243.753197906	250.431079359	249.666007057	0.581509888355	0.9770864432	0.825356362053
226	Binomial	none	25	1.0	223.815857928	230.297987112	229.567649331	0.591510594341	0.976843271209	0.822888982628
226	Binomial	none	26	1.0	178.212330588	184.459057596	183.708310362	0.580627354731	0.97750357306	0.826083424094
226	Binomial	none	27	1.0	177.885914673	184.159967834	183.412136605	0.57885690331	0.977980576573	0.82679612849
226	Binomial	none	28	1.0	207.535137194	214.807746493	214.139309109	0.578786721299	0.977596658117	0.827232590231
226	Binomial	none	29	1.0	241.652464203	248.142404931	247.417599541	0.580063978897	0.976857004462	0.825702587008
226	Binomial	none	3	1.0	241.624789659	247.951795934	247.214296729	0.565271246127	0.977761456133	0.829941952997
226	Binomial	none	30	1.0	241.558394897	248.900696843	248.211398923	0.574835716248	0.977160889875	0.826459433715
226	Binomial	none	31	1.0	198.255627496	204.904582186	204.179846014	0.583954029848	0.97704639203	0.824253856271
226	Binomial	none	32	1.0	223.453053755	229.927590102	229.174428965	0.582408389919	0.976754267615	0.82419279162
226	Binomial	none	33	1.0	200.165120317	206.941032329	206.188905842	0.584309342743	0.977116170023	0.824154953908
226	Binomial	none	34	1.0	193.225511013	200.339675864	199.61457395	0.574308598627	0.977413103499	0.827194152647
226	Binomial	none	35	1.0	189.355552049	196.271416816	195.559613456	0.58342631509	0.977247443737	0.825321933993
226	Binomial	none	36	1.0	185.25167036	191.854087986	191.123293807	0.583233941329	0.977530735648	0.825226364952
226	Binomial	none	37	1.0	230.526681007	237.44385523	236.703089292	0.582752157621	0.976792516771	0.823880666075
226	Binomial	none	38	1.0	219.690552679	225.960283703	225.215628878	0.575791850745	0.977297132197	0.826366309993
226	Binomial	none	39	1.0	241.751234768	248.291257953	247.567103369	0.58038257643	0.977623031647	0.826353745092
226	Binomial	none	4	1.0	171.330306912	177.353570426	176.597697513	0.588309995031	0.977653431528	0.823556410885
226	Binomial	none	40	1.0	187.473671312	194.276214093	193.554829129	0.572620618908	0.977721735759	0.82880308451
226	Binomial	none	41	1.0	210.315157126	217.091655039	216.333240723	0.591121987108	0.977476241314	0.823608153852
226	Binomial	none	42	1.0	187.955195839	195.11311229	194.396181875	0.569091485042	0.977721706324	0.829617599097
226	Binomial	none	43	1.0	179.984333795	186.621654675	185.867307425	0.577490788927	0.978243148854	0.828055226876
226	Binomial	none	44	1.0	236.079561047	243.287822909	242.584470741	0.578703448646	0.97675325011	0.826056680836
226	Binomial	none	45	1.0	224.578930279	231.649785378	230.960267266	0.583272554227	0.975910275067	0.825244173236
226	Binomial	none	46	1.0	211.246582203	219.174095387	218.473849718	0.587406575764	0.976788287276	0.824066090731
226	Binomial	none	47	1.0	243.705047994	250.170366754	249.48163042	0.589891408569	0.976880113957	0.822818220563
226	Binomial	none	48	1.0	190.537167651	197.052508619	196.306424989	0.586505231948	0.977074862205	0.823502084845
226	Binomial	none	49	1.0	183.670456284	190.487752557	189.760536603	0.569854201424	0.978111973457	0.829883832663
226	Binomial	none	5	1.0	196.084511886	202.087342269	201.330117364	0.580824371146	0.977214917898	0.825336066578
226	Binomial	none	50	1.0	220.85827241	227.969991226	227.184283331	0.582940325317	0.97714353453	0.824738944185
226	Binomial	none	51	1.0	201.912213646	209.260335489	208.554010251	0.59023080384	0.977206630443	0.823601032996
226	Binomial	none	52	1.0	178.58278825	185.001004353	184.245670269	0.583886996735	0.977731304064	0.825376390378
226	Binomial	none	53	1.0	188.01961685	195.126720259	194.409139564	0.581926681977	0.977707638966	0.826396088871
226	Binomial	none	54	1.0	184.047046945	190.300550965	189.542126787	0.582954838564	0.977744968071	0.825751681391
226	Binomial	none	55	1.0	252.712966875	259.088023965	258.379252891	0.579577795154	0.976832277771	0.825531882356
226	Binomial	none	56	1.0	186.388350787	193.062433209	192.309182181	0.591142824962	0.977255411188	0.823214980912
226	Binomial	none	57	1.0	191.340983184	197.560545028	196.803262609	0.591332465682	0.977262411458	0.82301193362
226	Binomial	none	58	1.0	246.875280773	253.377775763	252.630864365	0.581330893364	0.977272571787	0.825333648408
226	Binomial	none	59	1.0	192.955784488	199.480943211	198.735615696	0.579064572029	0.978090070408	0.826395095674
226	Binomial	none	6	1.0	187.268022365	193.875684748	193.148340017	0.57942182858	0.977141648889	0.826273230762
226	Binomial	none	60	1.0	199.129692391	206.486315524	205.837141886	0.588360793175	0.976950151802	0.824188922234
226	Binomial	none	61	0.976483554948	190.704268456	197.360179979	196.602551209	0.591985892297	0.977187623594	0.822989808762
226	Binomial	none	62	1.0	168.011359367	173.976253705	173.245772029	0.574184737279	0.977749096902	0.828002982395
226	Binomial	none	63	1.0	227.204157155	233.847069998	233.071008126	0.599073770748	0.975868335453	0.819061204925
226	Binomial	none	64	0.0	219.012068691	225.591325843	224.857352871	0.569777380481	0.977881536859	0.829052206773
226	Binomial	none	65	1.0	183.722434793	190.174401882	189.440440772	0.58030937001	0.977901397885	0.826465688337
226	Binomial	none	66	1.0	221.934341981	227.930577806	227.132850712	0.590743348701	0.976631389078	0.822036323998
226	Binomial	none	67	1.0	223.299514605	229.672693563	228.897003121	0.58448210855	0.976949780381	0.824593404618
226	Binomial	none	68	1.0	231.005512607	237.687397773	236.889519769	0.582808416329	0.97717817357	0.824958034775
226	Binomial	none	69	1.0	168.614206114	174.70872994	173.940408391	0.584186594644	0.977955792557	0.825596019686
226	Binomial	none	7	1.0	196.263804069	203.069578262	202.338688441	0.590185035363	0.977082901125	0.823710313964
226	Binomial	none	70	1.0	182.740748742	189.31556043	188.608373432	0.579126441284	0.977384209036	0.826731366447
